eeid,skill,years_experience
E04871,Django,2
E04871,Payroll,8
E04871,PostgreSQL,1
E04871,Recruiting,10
E04871,Employee Relations,10
E04871,Financial Modeling,10
E03547,TensorFlow,3
E03547,Financial Modeling,3
E03547,Data Analysis,4
E03547,Agile,6
E04742,Django,3
E04742,Project Management,2
E04742,Data Analysis,2
E04742,Agile,5
E04742,Excel,2
E01070,Budgeting,6
E01070,Accounting,9
E01070,Finance,4
E01070,Cloud Architecture,1
E01070,Financial Modeling,1
E01070,Excel,4
E04359,Project Management,1
E04359,PyTorch,3
E04359,Data Analysis,3
E04359,Stakeholder Management,4
E04359,Excel,5
E03268,SQL,3
E03268,Content Strategy,4
E03268,DevOps,1
E03268,Python,9
E04035,Content Strategy,1
E04035,Sales,1
E04035,Data Analysis,2
E04035,Marketing,7
E04035,TensorFlow,8
E04035,Computer Vision,7
E01221,Sales,9
E01221,Account Management,5
E01221,CRM,10
E01221,Stakeholder Management,10
E01221,Negotiation,3
E01221,Computer Vision,7
E00276,Java,4
E00276,Project Management,10
E00276,Data Analysis,4
E01687,HR Management,4
E01687,Flask,1
E01687,Frontend Development,1
E01687,Employee Relations,2
E01687,Data Engineering,2
E02844,Django,2
E02844,Account Management,3
E02844,CRM,1
E02844,TensorFlow,5
E02844,Negotiation,6
E01263,Spark,6
E01263,Sales,8
E01263,Python,10
E01263,Docker,5
E01263,AWS,2
E00119,Node.js,2
E00119,DevOps,6
E00119,CI/CD,6
E00119,RAG,1
E00119,System Design,2
E03935,DevOps,10
E03935,Recruiting,1
E03935,Network Administration,3
E03935,AWS,8
E03935,Cloud Architecture,8
E03935,React,2
E03935,Cybersecurity,7
E00742,HR Management,4
E00742,Sales,8
E00742,Account Management,6
E00742,CRM,7
E00742,Stakeholder Management,3
E00742,Negotiation,9
E02810,Accounting,8
E02810,Financial Modeling,6
E02810,PyTorch,4
E02810,Excel,6
E01860,Django,10
E01860,SEO,8
E01860,Accounting,2
E01860,Content Strategy,8
E01860,Data Analysis,8
E01860,Marketing,6
E04890,Stakeholder Management,9
E04890,Go,1
E04890,Agile,2
E02285,Payroll,10
E02285,Go,10
E02285,Sales,8
E02285,Account Management,6
E02285,CRM,8
E00842,Budgeting,9
E00842,Accounting,9
E00842,PostgreSQL,6
E00842,Finance,2
E00842,Recruiting,1
E00842,QA/Testing,3
E01271,Kubernetes,7
E01271,React,4
E01271,RAG,8
E01921,Project Management,1
E01921,C#,9
E01921,Python,7
E01921,Data Analysis,10
E01921,Agile,8
E01921,Stakeholder Management,9
E01921,Excel,3
E03664,Backend Development,7
E03664,DevOps,6
E03664,CI/CD,5
E03664,Recruiting,8
E03664,MongoDB,3
E03664,SQL,3
E03664,JavaScript,7
E00813,DevOps,3
E00813,Data Analysis,3
E00813,Network Administration,6
E00813,AWS,2
E00813,React,6
E00813,Negotiation,8
E00870,Azure,3
E00870,Linux,5
E00870,DevOps,5
E00870,Data Analysis,3
E04167,HR Management,9
E04167,Recruiting,4
E04167,Project Management,9
E04167,Computer Vision,7
E00245,System Design,6
E00245,DevOps,9
E00245,Frontend Development,1
E00245,Recruiting,1
E00976,HR Management,2
E00976,Payroll,3
E00976,FastAPI,3
E00976,Recruiting,9
E00976,GCP,2
E04112,Network Administration,6
E04112,AWS,1
E04112,Linux,5
E04112,Cloud Architecture,8
E04112,Cybersecurity,6
E01807,Backend Development,7
E01807,FastAPI,2
E01807,Docker,6
E01807,Deep Learning,4
E01807,GCP,4
E01807,Tableau,6
E04103,Finance,5
E04103,CI/CD,5
E04103,Budgeting,2
E04103,Network Administration,1
E01412,HR Management,4
E01412,Payroll,6
E01412,PostgreSQL,9
E01412,Recruiting,2
E01412,Deep Learning,2
E01412,Employee Relations,3
E04386,HR Management,7
E04386,Payroll,2
E04386,C#,3
E04386,Recruiting,1
E04386,Employee Relations,8
E01232,HR Management,4
E01232,Payroll,6
E01232,TypeScript,4
E01232,Employee Relations,4
E01232,React,3
E04572,HR Management,10
E04572,Content Strategy,1
E04572,DevOps,2
E04572,PyTorch,6
E04572,Azure,9
E02747,Node.js,6
E02747,Finance,1
E02747,AWS,4
E02747,Linux,2
E02747,Cloud Architecture,5
E02747,Cybersecurity,2
E01064,Azure,9
E01064,Power BI,3
E01064,DevOps,2
E01064,Cybersecurity,1
E00178,Sales,6
E00178,Account Management,7
E00178,TypeScript,5
E00178,CRM,2
E00178,Negotiation,2
E01091,Node.js,9
E01091,Payroll,8
E01091,PyTorch,9
E01091,Docker,2
E01091,TensorFlow,5
E01091,Kubernetes,2
E01091,Cybersecurity,5
E01525,DevOps,4
E01525,PyTorch,6
E01525,Network Administration,8
E01525,AWS,8
E01525,Linux,6
E01525,Stakeholder Management,5
E01525,Cybersecurity,3
E01309,Account Management,6
E01309,Data Analysis,8
E01309,Excel,8
E01309,Agile,8
E02378,SEO,2
E02378,SQL,2
E02378,AWS,1
E02378,Kubernetes,9
E02378,React,1
E04127,Backend Development,10
E04127,Negotiation,5
E04127,Account Management,3
E04127,CRM,8
E02072,Payroll,2
E02072,Java,4
E02072,SEO,2
E02072,Recruiting,2
E02072,Azure,5
E02555,Project Management,4
E02555,Data Analysis,9
E02555,Agile,6
E02555,Marketing,7
E02555,Stakeholder Management,8
E02555,Excel,8
E00187,Budgeting,7
E00187,C#,7
E00187,Accounting,6
E00187,Finance,10
E00187,GCP,2
E00187,Tableau,9
E00187,Financial Modeling,5
E04332,Go,5
E04332,Linux,4
E04332,SQL,3
E04332,Docker,3
E02062,REST API Design,8
E02062,Stakeholder Management,8
E02062,Data Analysis,4
E02062,Agile,10
E00034,Java,10
E00034,SEO,3
E00034,Marketing,1
E00034,Deep Learning,3
E00034,Network Administration,5
E00273,FastAPI,10
E00273,Sales,8
E00273,Account Management,8
E00273,CRM,3
E00273,Negotiation,4
E00691,Node.js,7
E00691,AWS,3
E00691,Azure,2
E00691,Linux,1
E00691,Cloud Architecture,4
E01403,Project Management,5
E01403,Linux,1
E01403,LangChain,6
E01403,Cloud Architecture,6
E01403,Cybersecurity,4
E03438,CI/CD,2
E03438,Recruiting,1
E03438,Java,3
E03438,AWS,5
E04136,Accounting,6
E04136,Data Analysis,2
E04136,TypeScript,3
E04136,Recruiting,7
E04136,Financial Modeling,5
E02944,Java,5
E02944,Docker,5
E02944,Power BI,10
E02944,CI/CD,6
E02944,System Design,7
E03300,SEO,10
E03300,Accounting,1
E03300,Content Strategy,3
E03300,Data Analysis,7
E03300,Marketing,1
E03300,Tableau,2
E00078,HR Management,4
E00078,Account Management,5
E00078,Recruiting,5
E00078,Deep Learning,3
E00078,Employee Relations,5
E00078,React,1
E00825,Project Management,6
E00825,Data Analysis,4
E00825,Agile,1
E00825,Marketing,3
E00825,Deep Learning,2
E00825,Azure,5
E00825,Excel,7
E04972,SEO,5
E04972,PostgreSQL,5
E04972,Accounting,3
E04972,Data Analysis,3
E04972,Marketing,3
E03941,Computer Vision,9
E03941,Network Administration,2
E03941,Java,9
E03941,Cybersecurity,5
E02148,Java,10
E02148,DevOps,1
E02148,Account Management,8
E02148,Docker,2
E02148,Frontend Development,5
E02148,System Design,2
E02148,SQL,7
E02252,NLP,3
E02252,SEO,1
E02252,Content Strategy,5
E02252,Data Analysis,2
E02252,Marketing,4
E02252,TypeScript,3
E03096,Budgeting,4
E03096,Accounting,4
E03096,DevOps,10
E03096,Finance,6
E03096,Financial Modeling,3
E03096,Excel,2
E04800,Spark,6
E04800,Stakeholder Management,8
E04800,Project Management,10
E04800,Agile,5
E02838,FastAPI,2
E02838,C++,9
E02838,Kubernetes,8
E02838,Docker,6
E02838,CI/CD,1
E02838,Employee Relations,1
E02838,Machine Learning,4
E02838,System Design,7
E02980,HR Management,6
E02980,Payroll,6
E02980,Project Management,3
E02980,Flask,8
E02980,Recruiting,7
E02980,Employee Relations,4
E04477,Budgeting,5
E04477,Project Management,4
E04477,Data Analysis,4
E04477,Agile,2
E04477,CI/CD,2
E04477,Stakeholder Management,2
E04477,SQL,4
E04477,Excel,1
E04348,HR Management,4
E04348,Payroll,1
E04348,Tableau,2
E04348,Recruiting,1
E04348,TensorFlow,2
E04348,Employee Relations,3
E04348,Cybersecurity,4
E01638,Django,2
E01638,DevOps,6
E01638,AWS,10
E01638,Machine Learning,4
E01638,Azure,10
E01638,Cybersecurity,10
E03419,Project Management,8
E03419,PostgreSQL,3
E03419,Sales,3
E03419,Account Management,6
E03419,CRM,7
E03419,Negotiation,10
E04222,Node.js,7
E04222,Sales,5
E04222,Agile,8
E04222,Frontend Development,6
E04222,SQL,10
E04222,JavaScript,9
E04126,Project Management,1
E04126,Agile,4
E04126,Stakeholder Management,5
E04126,Excel,1
E04126,Computer Vision,1
E01896,Budgeting,2
E01896,Accounting,1
E01896,Finance,1
E01896,C++,6
E01896,LangChain,3
E01896,Financial Modeling,3
E01896,Excel,4
E01896,Cybersecurity,4
E03018,Backend Development,2
E03018,Docker,8
E03018,CI/CD,5
E03018,Linux,6
E03018,SQL,7
E03018,JavaScript,5
E03018,Excel,3
E03325,HR Management,7
E03325,Payroll,5
E03325,Python,10
E03325,Recruiting,4
E03325,MongoDB,1
E04037,Budgeting,10
E04037,Accounting,5
E04037,Content Strategy,5
E04037,Finance,9
E04037,CI/CD,5
E04037,C++,7
E04037,Financial Modeling,4
E04037,Excel,2
E01902,Employee Relations,10
E01902,CRM,8
E01902,Payroll,4
E01902,SQL,6
E01466,Sales,4
E01466,Content Strategy,1
E01466,Account Management,2
E01466,CRM,1
E01466,LangChain,2
E01466,Negotiation,1
E02038,Budgeting,3
E02038,NLP,1
E02038,Content Strategy,5
E02038,Data Analysis,7
E02038,Marketing,2
E03474,HR Management,2
E03474,Payroll,9
E03474,DevOps,4
E03474,Network Administration,8
E03474,Azure,7
E03474,Linux,5
E03474,Cloud Architecture,6
E02744,HR Management,1
E02744,Spark,4
E02744,Payroll,2
E02744,Recruiting,4
E02744,Employee Relations,7
E00702,Project Management,3
E00702,Data Analysis,6
E00702,Marketing,2
E00702,Agile,4
E00702,REST API Design,3
E00702,Stakeholder Management,8
E03081,C#,3
E03081,Sales,8
E03081,Account Management,4
E03081,Finance,6
E03081,CRM,9
E03081,Negotiation,6
E03081,Computer Vision,8
E01281,Kubernetes,10
E01281,Account Management,3
E01281,C++,9
E01281,Azure,6
E01281,Linux,6
E01281,Cloud Architecture,8
E01281,Cybersecurity,5
E04029,Payroll,9
E04029,Content Strategy,7
E04029,Python,3
E04029,Recruiting,1
E04029,Employee Relations,10
E01116,Project Management,6
E01116,PostgreSQL,7
E01116,Account Management,6
E01116,AWS,2
E01116,CRM,2
E01116,Negotiation,9
E01753,REST API Design,4
E01753,Project Management,2
E01753,Excel,1
E01753,Agile,7
E04072,Spark,7
E04072,Go,6
E04072,Accounting,1
E04072,Finance,5
E04072,TensorFlow,1
E04072,Financial Modeling,2
E00672,Cloud Architecture,4
E00672,Network Administration,10
E00672,C#,3
E00672,AWS,9
E04419,Java,3
E04419,Sales,9
E04419,CRM,10
E04419,Data Engineering,8
E04419,JavaScript,6
E00467,PostgreSQL,6
E00467,Content Strategy,8
E00467,DevOps,8
E00467,Frontend Development,7
E00467,Kubernetes,1
E00467,Cloud Architecture,1
E00365,SEO,6
E00365,Recruiting,3
E00365,Data Analysis,5
E00306,FastAPI,7
E00306,React,3
E00306,Linux,1
E00306,SQL,5
E03292,Azure,7
E03292,Deep Learning,2
E03292,AWS,1
E03292,SEO,6
E04779,TensorFlow,6
E04779,DevOps,9
E04779,Go,10
E04779,Machine Learning,3
E00501,Budgeting,6
E00501,Accounting,2
E00501,Finance,8
E00501,AWS,10
E00501,LangChain,1
E00501,Financial Modeling,9
E00501,Excel,7
E01132,REST API Design,7
E01132,Negotiation,10
E01132,Account Management,4
E00556,Project Management,7
E00556,Account Management,7
E00556,Data Analysis,6
E00556,Agile,6
E00556,Stakeholder Management,4
E00311,HR Management,4
E00311,Payroll,4
E00311,Deep Learning,6
E00311,Employee Relations,3
E00311,Cloud Architecture,2
E04567,DevOps,1
E04567,Account Management,3
E04567,Employee Relations,4
E04567,Linux,4
E04567,Cybersecurity,1
E04378,DevOps,1
E04378,Account Management,5
E04378,Power BI,3
E04378,Network Administration,1
E04378,AWS,5
E04378,Azure,4
E04378,Linux,10
E04378,Cloud Architecture,5
E03251,Budgeting,6
E03251,Stakeholder Management,2
E03251,Negotiation,1
E03251,Account Management,5
E03167,Employee Relations,9
E03167,Payroll,8
E03167,Docker,9
E03167,HR Management,1
E03347,Node.js,6
E03347,FastAPI,6
E03347,DevOps,6
E03347,Machine Learning,5
E03347,System Design,4
E03908,NLP,7
E03908,Account Management,9
E03908,Network Administration,10
E03908,LangChain,4
E03908,Cloud Architecture,7
E03908,Cybersecurity,4
E01351,DevOps,2
E01351,Account Management,3
E01351,Finance,6
E01351,CI/CD,6
E01351,Network Administration,5
E01351,AWS,2
E01351,Azure,4
E01351,Cybersecurity,2
E02681,Node.js,4
E02681,Network Administration,3
E02681,Linux,4
E02681,Financial Modeling,3
E02681,Cybersecurity,2
E03807,DevOps,6
E03807,Account Management,2
E03807,Network Administration,8
E03807,AWS,3
E03807,Machine Learning,9
E03807,Azure,10
E03807,SQL,8
E00422,CI/CD,5
E00422,Cloud Architecture,7
E00422,SQL,4
E00422,Machine Learning,4
E00265,Node.js,7
E00265,Backend Development,6
E00265,Kubernetes,7
E00265,Linux,10
E00265,Stakeholder Management,10
E00265,SQL,10
E04601,Budgeting,1
E04601,Accounting,4
E04601,Content Strategy,5
E04601,Finance,8
E04601,C++,7
E04601,Financial Modeling,5
E04601,React,5
E04601,Excel,8
E04816,Azure,9
E04816,Cloud Architecture,2
E04816,DevOps,3
E04816,SEO,9
E02147,Accounting,8
E02147,Docker,2
E02147,Network Administration,5
E02147,Financial Modeling,6
E02147,Negotiation,3
E02914,FastAPI,9
E02914,DevOps,7
E02914,TypeScript,1
E02914,Deep Learning,3
E02914,GCP,6
E02914,Frontend Development,10
E02914,System Design,3
E02914,Stakeholder Management,3
E03268,Backend Development,3
E03268,DevOps,4
E03268,Docker,1
E03268,RAG,10
E03268,Azure,5
E03268,Cloud Architecture,1
E03268,Cybersecurity,8
E03972,Project Management,9
E03972,Data Analysis,5
E03972,Agile,10
E03972,Frontend Development,9
E03972,Stakeholder Management,4
E03972,Excel,1
E02189,Accounting,6
E02189,Sales,2
E02189,MongoDB,1
E02189,Negotiation,2
E02189,Excel,7
E04290,HR Management,3
E04290,DevOps,1
E04290,Agile,1
E04290,Network Administration,3
E04290,AWS,3
E04290,Azure,3
E03630,Project Management,2
E03630,Sales,10
E03630,Data Analysis,9
E03630,Agile,2
E03630,TensorFlow,8
E03630,Kubernetes,10
E03630,Stakeholder Management,5
E00432,HR Management,10
E00432,Payroll,4
E00432,Backend Development,5
E00432,Recruiting,4
E00432,Employee Relations,1
E03045,HR Management,6
E03045,Payroll,9
E03045,Recruiting,4
E03045,Deep Learning,1
E03045,Employee Relations,4
E03045,Data Engineering,5
E01924,Node.js,10
E01924,Power BI,1
E01924,Frontend Development,3
E01924,Marketing,4
E04877,Data Analysis,9
E04877,Flask,6
E04877,Marketing,8
E04877,Network Administration,7
E04877,Financial Modeling,1
E02770,Accounting,3
E02770,DevOps,4
E02770,Network Administration,6
E02770,Machine Learning,5
E02770,Linux,7
E02770,Cybersecurity,2
E04590,HR Management,5
E04590,Budgeting,4
E04590,FastAPI,9
E04590,Recruiting,5
E04590,Employee Relations,3
E01977,Finance,8
E01977,Recruiting,9
E01977,Budgeting,3
E01977,Financial Modeling,4
E01378,Content Strategy,1
E01378,DevOps,8
E01378,Network Administration,7
E01378,AWS,9
E01378,Linux,2
E04224,HR Management,2
E04224,Recruiting,9
E04224,Deep Learning,5
E04224,Cybersecurity,1
E03423,Sales,5
E03423,Account Management,2
E03423,CRM,1
E03423,Azure,10
E03423,Negotiation,9
E01584,Azure,1
E01584,Content Strategy,3
E01584,Data Analysis,5
E00788,Node.js,7
E00788,Sales,3
E00788,Account Management,10
E00788,CRM,10
E00788,Negotiation,8
E00207,Employee Relations,8
E00207,Payroll,2
E00207,NLP,8
E00834,Budgeting,1
E00834,Django,2
E00834,Accounting,8
E00834,Finance,2
E00834,REST API Design,6
E00834,Financial Modeling,8
E04571,ETL,9
E04571,Payroll,2
E04571,Backend Development,5
E04571,DevOps,9
E04571,RAG,8
E04571,TensorFlow,7
E02652,C#,4
E02652,Agile,3
E02652,Employee Relations,2
E02652,Data Engineering,10
E02652,Stakeholder Management,8
E02652,Excel,2
E02693,Node.js,1
E02693,Sales,2
E02693,DevOps,4
E02693,CRM,3
E03359,Backend Development,6
E03359,DevOps,5
E03359,Kubernetes,5
E03359,Docker,7
E03359,Frontend Development,6
E03359,Linux,2
E03359,JavaScript,1
E00399,Budgeting,4
E00399,Finance,6
E00399,Power BI,3
E00399,Financial Modeling,6
E00399,Negotiation,4
E00399,Excel,4
E02971,DevOps,1
E02971,Network Administration,3
E02971,AWS,8
E02971,CRM,7
E02971,Linux,3
E02971,Cybersecurity,2
E03327,Project Management,3
E03327,Spark,7
E03327,DevOps,10
E03327,Data Analysis,1
E03327,Agile,10
E03327,Stakeholder Management,8
E03327,Excel,4
E00900,Content Strategy,9
E00900,Data Analysis,5
E00900,AWS,8
E00836,Marketing,2
E00836,Network Administration,5
E00836,System Design,1
E00836,Cloud Architecture,6
E00836,Stakeholder Management,1
E03854,Payroll,1
E03854,PostgreSQL,8
E03854,Network Administration,10
E03854,AWS,3
E03854,Linux,10
E03854,Excel,1
E03854,Cybersecurity,5
E04729,Budgeting,5
E04729,Negotiation,5
E04729,CRM,3
E00360,Docker,3
E00360,Flask,5
E00360,AWS,4
E00360,Employee Relations,8
E00360,JavaScript,3
E02284,Node.js,7
E02284,Content Strategy,4
E02284,Frontend Development,8
E02284,AWS,3
E00181,SEO,8
E00181,REST API Design,9
E00181,Data Analysis,4
E00181,MongoDB,7
E04168,Sales,2
E04168,Account Management,9
E04168,QA/Testing,6
E04168,Deep Learning,7
E04168,CRM,5
E04168,Negotiation,6
E02861,Account Management,3
E02861,Network Administration,6
E02861,AWS,9
E02861,Azure,1
E02861,Cloud Architecture,1
E02861,Negotiation,2
E02861,Cybersecurity,1
E01357,NLP,10
E01357,Python,4
E01357,QA/Testing,10
E01357,RAG,2
E01357,Machine Learning,2
E01357,Kubernetes,2
E01357,React,10
E04387,Data Analysis,2
E04387,REST API Design,8
E04387,Network Administration,5
E04387,Azure,7
E04387,Linux,6
E03090,Django,2
E03090,DevOps,8
E03090,Cybersecurity,4
E03591,SEO,2
E03591,Content Strategy,10
E03591,PyTorch,5
E03591,Data Analysis,8
E03591,Marketing,1
E03328,FastAPI,6
E03328,DevOps,1
E03328,Flask,5
E03328,AWS,2
E03328,Linux,1
E03328,Cloud Architecture,4
E04937,Budgeting,2
E04937,Sales,8
E04937,CRM,5
E04937,System Design,4
E04937,Data Engineering,3
E00515,Project Management,6
E00515,NLP,4
E00515,Backend Development,6
E00515,Data Analysis,2
E00515,Agile,2
E00515,Excel,1
E01241,Accounting,1
E01241,Flask,1
E01241,Network Administration,6
E01241,Employee Relations,1
E01241,AWS,6
E01241,Linux,1
E01241,Cloud Architecture,7
E01241,Cybersecurity,2
E03255,Azure,3
E03255,Network Administration,8
E03255,Deep Learning,1
E03255,AWS,8
E01711,Finance,3
E01711,Accounting,1
E01711,Budgeting,4
E01711,Backend Development,5
E00500,Project Management,2
E00500,DevOps,4
E00500,Agile,7
E00500,Scrum,6
E00500,Employee Relations,7
E04972,HR Management,3
E04972,Payroll,7
E04972,SQL,3
E02728,Network Administration,8
E02728,Stakeholder Management,2
E02728,Project Management,1
E02728,Agile,1
E04749,Budgeting,5
E04749,Finance,9
E04749,AWS,8
E04749,Financial Modeling,7
E04749,Excel,4
E02023,DevOps,4
E02023,Network Administration,4
E02023,AWS,2
E02023,Linux,9
E02023,Excel,2
E02023,Cybersecurity,10
E03166,DevOps,8
E03166,Network Administration,3
E03166,C++,3
E03166,Azure,1
E03166,Linux,1
E03166,Cloud Architecture,6
E03166,Financial Modeling,5
E02599,HR Management,1
E02599,Payroll,8
E02599,Recruiting,9
E02599,GCP,2
E02599,Azure,2
E02599,Employee Relations,4
E01014,CI/CD,7
E01014,Content Strategy,4
E01014,Marketing,7
E04529,Docker,6
E04529,TypeScript,3
E04529,Network Administration,8
E04529,AWS,4
E04529,Linux,6
E04529,Cloud Architecture,5
E04529,Cybersecurity,4
E00085,HR Management,6
E00085,GCP,4
E00085,Azure,5
E00085,Linux,10
E00085,Cloud Architecture,3
E00632,Content Strategy,7
E00632,DevOps,4
E00632,Python,4
E00632,Network Administration,6
E00632,AWS,7
E00632,Azure,4
E00632,Cloud Architecture,3
E02108,Finance,8
E02108,Financial Modeling,2
E02108,JavaScript,8
E02108,C++,8
E03802,CI/CD,5
E03802,React,4
E03802,Kubernetes,2
E03685,Project Management,8
E03685,REST API Design,3
E03685,AWS,7
E03685,Machine Learning,3
E03685,Azure,6
E03685,Cloud Architecture,8
E01089,Project Management,4
E01089,Go,2
E01089,Data Analysis,6
E01089,Agile,1
E01089,Power BI,9
E01089,CRM,6
E01089,Stakeholder Management,1
E01089,Excel,2
E03988,SEO,10
E03988,Content Strategy,4
E03988,Data Analysis,4
E03988,Marketing,6
E03988,REST API Design,6
E03988,RAG,5
E03988,Stakeholder Management,9
E00401,Go,5
E00401,CRM,8
E00401,Azure,10
E00401,Employee Relations,6
E00401,Cloud Architecture,2
E03429,SEO,2
E03429,PostgreSQL,2
E03429,Marketing,3
E02417,Backend Development,9
E02417,FastAPI,3
E02417,Python,8
E02417,Kubernetes,6
E02417,Negotiation,7
E00359,SEO,9
E00359,Content Strategy,9
E00359,Sales,8
E00359,Data Analysis,8
E00359,Marketing,5
E00359,Excel,10
E02044,Recruiting,3
E02044,ETL,4
E02044,Payroll,2
E02044,HR Management,5
E01479,Azure,2
E01479,SQL,1
E01479,DevOps,6
E01479,Network Administration,10
E04962,Node.js,8
E04962,FastAPI,9
E04962,Spark,3
E02769,SEO,3
E02769,PostgreSQL,5
E02769,Sales,2
E02769,Account Management,5
E02769,Flask,4
E02769,CRM,3
E03893,Spark,1
E03893,DevOps,4
E03893,Python,4
E03893,System Design,5
E03893,SQL,4
E03893,Computer Vision,1
E00553,Backend Development,6
E00553,DevOps,10
E00553,Java,10
E03540,DevOps,6
E03540,Python,6
E03540,Data Analysis,5
E03540,Network Administration,8
E03540,Azure,2
E03540,Cloud Architecture,4
E03540,Cybersecurity,8
E02769,Finance,4
E02769,Financial Modeling,7
E02769,Excel,5
E02769,MongoDB,3
E03277,Node.js,2
E03277,SEO,5
E03277,Data Analysis,4
E03277,Marketing,6
E03277,Frontend Development,5
E03277,SQL,7
E04194,Project Management,1
E04194,Payroll,1
E04194,DevOps,3
E04194,Data Analysis,5
E04194,Agile,5
E04194,Flask,8
E04194,Stakeholder Management,2
E04194,Excel,5
E01807,Sales,8
E01807,Account Management,2
E01807,Agile,6
E01807,Marketing,9
E01807,CRM,10
E01807,Negotiation,1
E01762,Spark,6
E01762,Sales,1
E01762,Account Management,5
E01762,TypeScript,5
E01762,CRM,9
E01762,Negotiation,2
E02632,Go,10
E02632,Data Analysis,6
E02632,Agile,3
E02632,Stakeholder Management,1
E02632,Excel,3
E04226,Accounting,9
E04226,DevOps,10
E04226,Linux,9
E04226,AWS,9
E04226,Kubernetes,9
E04101,Sales,6
E04101,ETL,3
E04101,CRM,2
E04101,MongoDB,4
E01981,Accounting,5
E01981,DevOps,3
E01981,AWS,4
E01981,Negotiation,3
E01981,Excel,2
E02534,Backend Development,5
E02534,Stakeholder Management,1
E02534,Project Management,2
E02534,RAG,5
E01238,ETL,3
E01238,NLP,5
E01238,Sales,10
E01238,Account Management,6
E01238,CRM,6
E01238,Machine Learning,3
E01238,Negotiation,9
E01118,HR Management,9
E01118,Payroll,1
E01118,Recruiting,2
E01118,Frontend Development,4
E01118,Azure,9
E01118,Employee Relations,8
E04041,HR Management,3
E04041,DevOps,1
E04041,Network Administration,4
E04041,RAG,1
E04041,AWS,5
E04041,Cloud Architecture,2
E04308,Django,7
E04308,Data Analysis,4
E04308,Frontend Development,2
E04308,TensorFlow,8
E04308,Linux,6
E04308,Financial Modeling,3
E04308,JavaScript,1
E01052,SEO,3
E01052,Data Analysis,2
E01052,QA/Testing,6
E01052,Excel,4
E01052,Computer Vision,6
E04165,Spark,4
E04165,SEO,5
E04165,Content Strategy,4
E04165,Data Analysis,4
E04165,TypeScript,5
E04165,System Design,3
E02295,Sales,1
E02295,Negotiation,2
E02295,Account Management,8
E02295,Computer Vision,1
E04546,Azure,1
E04546,HR Management,6
E04546,AWS,5
E04546,Cybersecurity,4
E04217,Backend Development,2
E04217,Linux,7
E04217,DevOps,8
E04217,Cybersecurity,6
E00650,HR Management,8
E00650,Payroll,2
E00650,Recruiting,10
E00650,Employee Relations,8
E00650,React,9
E00650,Negotiation,9
E00344,DevOps,1
E00344,Agile,3
E00344,Azure,6
E00344,Linux,6
E00344,Cybersecurity,10
E04645,Node.js,6
E04645,Spark,1
E04645,SEO,4
E04645,Data Analysis,4
E04645,Marketing,4
E03880,Project Management,6
E03880,Data Analysis,7
E03880,Flask,4
E03880,Stakeholder Management,5
E03880,Excel,5
E02730,Node.js,9
E02730,Spark,6
E02730,Go,3
E02730,FastAPI,10
E02730,CI/CD,5
E02730,Machine Learning,6
E02730,TensorFlow,7
E02730,System Design,4
E04517,ETL,10
E04517,SEO,9
E04517,Content Strategy,8
E04517,PyTorch,7
E04517,Data Analysis,4
E04517,Marketing,6
E04517,SQL,2
E00965,Backend Development,9
E00965,DevOps,3
E00965,AWS,10
E00965,Machine Learning,8
E00965,Azure,4
E00965,Kubernetes,8
E00965,Cloud Architecture,5
E00965,Cybersecurity,9
E04639,DevOps,4
E04639,Azure,7
E04639,Cloud Architecture,5
E04639,Stakeholder Management,5
E04639,Cybersecurity,3
E00465,C#,7
E00465,Python,7
E00465,SQL,1
E00465,JavaScript,4
E00465,Excel,3
E03058,Azure,2
E03058,Cloud Architecture,6
E03058,TensorFlow,10
E02337,Project Management,2
E02337,NLP,5
E02337,Data Analysis,1
E02337,Agile,7
E02337,Frontend Development,7
E02337,Stakeholder Management,3
E02337,Excel,3
E04927,Spark,2
E04927,C#,6
E04927,Accounting,9
E04927,Finance,7
E04927,Financial Modeling,8
E04927,Excel,4
E03799,Payroll,1
E03799,Sales,4
E03799,Finance,5
E03799,Cloud Architecture,9
E03799,Excel,7
E04538,DevOps,4
E04538,Network Administration,5
E04538,QA/Testing,4
E04538,Linux,3
E04538,Cloud Architecture,8
E04538,Cybersecurity,6
E02633,ETL,10
E02633,Sales,9
E02633,PyTorch,6
E02633,Account Management,8
E02633,TypeScript,1
E02633,CRM,1
E02633,Negotiation,3
E02965,Finance,2
E02965,Accounting,5
E02965,C++,4
E04345,Node.js,5
E04345,Budgeting,4
E04345,ETL,2
E04345,Accounting,7
E04345,Deep Learning,6
E04345,AWS,3
E04345,System Design,7
E04345,React,7
E02895,Budgeting,3
E02895,Finance,1
E02895,Financial Modeling,7
E02895,Negotiation,10
E02895,Excel,7
E01132,Django,8
E01132,Backend Development,8
E01132,Recruiting,2
E01132,Azure,4
E01132,Linux,4
E00758,PostgreSQL,4
E00758,Sales,7
E00758,Account Management,3
E00758,Finance,7
E00758,Kubernetes,3
E03750,Java,2
E03750,Account Management,1
E03750,Docker,8
E03750,Frontend Development,3
E03750,CRM,6
E03750,Linux,7
E03750,SQL,4
E00144,System Design,7
E00144,FastAPI,5
E00144,SQL,7
E00144,Machine Learning,6
E02943,SEO,6
E02943,NLP,9
E02943,LangChain,7
E02943,Data Analysis,3
E03901,Payroll,5
E03901,SEO,9
E03901,Content Strategy,6
E03901,Data Analysis,7
E03901,Marketing,3
